,songs_names,songs_ids,artists_names,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1928,Rampart,70gaevd9hiDme65DptoXEN,Oliver Schories,0.809,0.794,1,-8.326,1,0.0599,0.000173,0.877,0.103,0.0977,124.006
1929,Flight Into the Void,2Lj3VzdR8WP6TqsTS3J7Mz,Remcord,0.725,0.585,8,-12.121,1,0.0532,0.101,0.875,0.09,0.269,123
1930,Curve,5J0id4CmRP4rC89UmwVFYd,Microtrauma,0.672,0.804,6,-9.953,1,0.0409,0.019,0.87,0.096,0.11,124.011
1931,Jupiter,3zUdy1VfjnNYDezMxSGxyw,Modeplex,0.681,0.679,5,-8.924,0,0.0621,0.000211,0.907,0.12,0.464,123.009
1932,"Honestly, did you listen to the MP3 player?",6PG19dPCnNQ2BigIejgDlM,Sebastian Mullaert,0.637,0.186,7,-16.613,0,0.0769,0.834,0.942,0.077,0.28,127.043
1933,Nova - Joseph Ray Remix,6LNsUBqtCA3aqN8fyLmisS,"Yotto,Joseph Ray",0.679,0.871,1,-8.032,0,0.0352,0.00079,0.86,0.093,0.252,123.996
1934,Spacemodulation,6g8QDiZ1zAwucNXgKnVIrW,Flug 8,0.636,0.669,4,-12.978,0,0.0378,0.000123,0.773,0.253,0.705,125.003
1935,Serenade,6JGDoTtGLaaikBdyLExPZ8,Stil & Bense,0.705,0.793,11,-10.826,1,0.0532,0.0257,0.954,0.0963,0.0644,124.002
1936,Ombre,5SW8SlaKiBYh4qBpomiL61,Ceas,0.598,0.833,7,-8.885,0,0.0357,0.325,0.876,0.0817,0.0353,122.003
1937,Love Letters From Sicily,0AROOP6Ee5j65jP34ekMyW,"Matthias Meyer,Ryan Davis",0.798,0.839,7,-7.755,1,0.0518,0.105,0.852,0.0702,0.319,120.997
1938,Beyond,7mBP9fo0krV2spidfoWI8V,Marc Romboy,0.732,0.808,1,-9.194,1,0.0569,0.0529,0.883,0.0689,0.0683,124.995
1939,Hate: Love,4CTlENI5cxPQR57ZptMVMw,JUNIOR_C,0.752,0.72,10,-9.634,0,0.0472,0.00497,0.841,0.0572,0.0396,121.008
1940,Valencia,2z8f7v10JqUq4zXokDn2c3,Qplex,0.803,0.713,4,-10.457,0,0.0444,0.0447,0.902,0.329,0.0353,122.02
1941,Chameleon,6aJuHvTP9jj8CdwfHYtYWS,Boris Brejcha,0.808,0.621,1,-12.147,1,0.0626,0.000144,0.911,0.0975,0.0921,125.007
1942,Miracle,7LkAU8jTxTG1qcVQAiWXpz,Another Mind,0.58,0.829,2,-8.63,1,0.0325,0.00533,0.857,0.3,0.187,124.008
1943,Insurgence,2ZIfoWjvGK3ABgIFjrhQBY,Soul Button,0.635,0.891,2,-11.747,1,0.0388,0.000398,0.799,0.117,0.0336,122.014
1944,Panama,6t5ZrF85M2199GUyPm4P3k,"Starkato,Intaktogene",0.678,0.653,6,-9.966,0,0.0453,0.000698,0.831,0.5,0.127,123.993
1945,Loggbight,7ihqDGoKAtGRfX65Kfnp9G,Eskapist,0.711,0.846,7,-7.247,1,0.0432,4.15E-06,0.916,0.109,0.0511,123.999
1946,Polymid,6Ob7lH8xFS2HYPnkFsdzrl,Renga Weh,0.81,0.636,4,-11.632,0,0.0544,0.00042,0.857,0.105,0.313,121.019
1947,Earth,5ZrT1f69ISeELuHAHdYste,Modeplex,0.803,0.831,1,-11.743,1,0.056,0.00212,0.907,0.0849,0.229,121.999
1948,Time,2u2qjcSLId85rqwSgZLU1p,Solee,0.617,0.61,6,-8.793,1,0.0367,0.00584,0.902,0.0934,0.206,123.003
1949,Klass,4YKGgZIimpmpWNKcfsaKEq,Tom Ashbrook,0.286,0.193,6,-19.867,1,0.0383,0.95,0.951,0.139,0.0882,172.841
1950,Future Love - Reimagined by Pêtr Aleksänder instrumental,08ciGXj3HGPuY6jACqds83,"Ride,Pêtr Aleksänder",0.2,0.293,10,-18.822,1,0.0364,0.0133,0.498,0.254,0.0417,149.445
1951,In Cold Light,140jZx69WlaEovptyTYevr,Vanbur,0.18,0.244,6,-17.797,0,0.0371,0.88,0.918,0.0978,0.0586,73.16
1952,Like Glass,71rfSw8kdWU28fZV3oBNFN,VOISART,0.201,0.0729,7,-23.906,1,0.0343,0.96,0.829,0.362,0.0746,71.807
1953,Aurora,41VwA66JSS45VlgYtXLfEH,"Jacob Pavek,Philip Daniel,BLOMMA",0.121,0.147,0,-16.843,0,0.0384,0.93,0.939,0.158,0.0366,74.451
1954,Current,05J7mr2kIdHciLOO5ISSia,Phoria,0.254,0.117,8,-21.35,0,0.0376,0.964,0.875,0.111,0.0447,78.533
1955,Éclosion,5OySktqTcVI9raXKmrdGNr,Tony Anderson,0.514,0.174,9,-28.958,0,0.0544,0.965,0.964,0.0998,0.513,150.056
1956,Fairytail,05gpQCSjj80MvJtRbAz8Th,Phoria,0.159,0.147,5,-18.866,1,0.0448,0.911,0.962,0.238,0.0309,132.877
1957,The Waiting Room,5EzmuUgag56v5C57sjIV1j,Paul Haslinger,0.158,0.0769,10,-22.247,1,0.0313,0.928,0.929,0.089,0.0391,72.711
1958,No Step on Wing,2DmIDwMhMA3V0KipI78nM1,Nils Frahm,0.181,0.161,11,-27.538,1,0.0348,0.931,0.947,0.134,0.24,93.444
1959,Wandering II,57YoIlL4U1khGfYI5JEBEk,Eydís Evensen,0.0951,0.155,7,-20.447,0,0.0342,0.865,0.776,0.0922,0.138,163.072
1960,Arrival,4MJ8OAVknShOQ4gvNOfiLk,Jeremiah Fraites,0.467,0.117,11,-24.746,0,0.0345,0.977,0.886,0.0947,0.199,126.188
1961,Wrestling,3GHGYVMQcpm5h7xGKpm3y6,Jóhann Jóhannsson,0.124,0.0712,10,-24.035,1,0.0418,0.939,0.789,0.0801,0.0407,154.206
1962,A Paragon,3Yn7N01jpZD5LzIxk9EcSj,John Ozbay,0.284,0.0791,8,-23.738,1,0.0315,0.967,0.904,0.143,0.036,79.932
1963,Epilogue,5LqyJJiZ3X74giX7n0QxjF,Ólafur Arnalds,0.172,0.0881,8,-15.183,1,0.0381,0.983,0.911,0.0849,0.0845,76.17
1964,The Garden,1QwnjxsFzruTTCbuuKQdnH,Doug Kaufman,0.214,0.243,6,-17.301,1,0.0319,0.917,0.912,0.0657,0.0381,80.187
1965,Sirius,5hCsZmKCAIjilYkagDsOHf,Joep Beving,0.156,0.138,0,-18.612,0,0.0326,0.965,0.925,0.139,0.0982,59.862
1966,Don’t Walk Alone,1h91XWq9tdjGGPZLUX0sss,Neil Cowley,0.448,0.154,10,-23.811,1,0.0405,0.795,0.878,0.275,0.154,79.955
1967,Escape - Hania Rani Remix,6MpiBJNEoqRTLVapGwvgSc,"Skalpel,Hania Rani",0.308,0.361,7,-18.788,0,0.0333,0.949,0.913,0.19,0.0516,117
1968,Opening - Laurel Halo Version,3FELA6K4XI70mcexmFidyc,"Bruce Brubaker,Max Cooper,Laurel Halo",0.0731,0.251,0,-16.576,0,0.0372,0.906,0.844,0.123,0.0366,79.841
1969,Itasca,4rCH64jtPj5dp8jSXAVYWg,"Elskavon,John Hayes",0.603,0.139,7,-17.859,1,0.0433,0.979,0.949,0.185,0.267,133.037
1970,Over The Pines,2gAIy3MuCMOZUejECGPBUa,"Ben Sollee,Time For Three",0.278,0.212,2,-16.375,1,0.0473,0.883,0.797,0.115,0.0998,118.36
1971,The Myth,3PFlF0czIchods0CEDOAr5,"Balmorhea,Lisa Morgenstern",0.528,0.163,7,-19.696,0,0.0295,0.895,0.929,0.105,0.141,98.417
1972,Illusion Of Time - Teodor Wolgers Rework,6uZ7HlryD5c0IU65ANbaj2,"Daniel Avery,Alessandro Cortini,Teodor Wolgers",0.293,0.229,8,-17.521,1,0.0333,0.994,0.956,0.0758,0.0952,111.949
1973,Pastoral,19vWDttuR4ZVBzUfQFsfPS,Christian Löffler,0.163,0.191,10,-20.924,1,0.0365,0.937,0.959,0.0961,0.0335,105.104
1974,Lóa - Bing & Ruth Rework,3cBQab6CbhO77vgqp5drdA,"Gabríel Ólafs,Bing & Ruth",0.496,0.221,3,-23.39,1,0.04,0.99,0.911,0.143,0.322,109.829
1975,Tramlines,10BepUUYRLzp0QV2NoEDAB,Neil Cowley,0.234,0.0129,2,-29.399,0,0.029,0.985,0.925,0.105,0.152,68.011
1976,Waves,3p6PUYuD5JbhR33oukJBzB,Vetle Nærø,0.194,0.00359,6,-28.617,0,0.0375,0.976,0.936,0.117,0.106,163.177
1977,Ae Fond Kiss,38mXFnlp9LSFKx7wZcnsJF,"Trad. arr. Mhairi Hall,Mhairi Hall",0.241,0.00406,4,-31.295,1,0.0383,0.992,0.96,0.0604,0.0932,68.136
1978,The Dive,01hFM9dS9M6lN4rUvo4A2u,"Peter Gregson,Lambert",0.152,0.0542,2,-23.323,0,0.0378,0.956,0.844,0.104,0.153,90.94
1979,Sadness - Carlos Cipa Rework,6DLTECZMsEl9En73TNRoEQ,"Masayoshi Fujita,Carlos Cipa",0.158,0.0356,4,-32.22,1,0.0419,0.975,0.928,0.156,0.0369,98.614
1980,The Swimmer,6NtpDQounqLQOrZsXo9oHt,Phil France,0.503,0.0738,11,-18.029,1,0.0394,0.777,0.95,0.112,0.137,119.939
1981,Waterfelt,0lWBHo6UlkykeDpwAiwOv4,Joel Christian Goffin,0.153,0.0231,0,-22.736,1,0.0355,0.938,0.886,0.091,0.0425,76.644
1982,Suite in D IV (Dreamland),28sw29g4kMAqnsWHQkqRhZ,Martin Bloch,0.32,0.113,9,-27.74,0,0.0317,0.994,0.935,0.0987,0.478,83.255
1983,Still Blue,6qrRrLT4NGgnhjF0Ur4JnD,"Olivia Belli,Enrico Belli",0.175,0.185,5,-19.733,1,0.0382,0.924,0.958,0.0994,0.0545,145.038
1984,Pomegranate,2xDPJSFMb53Ym5HHGXuaJQ,Quarterly,0.276,0.322,4,-15.165,1,0.0335,0.817,0.848,0.109,0.261,125.351
1985,A,1kHETSWzScobcs0K5JsVc0,Thomas Farnon,0.0598,0.191,7,-16.699,0,0.04,0.638,0.897,0.0956,0.0371,54.067
1986,She Lives in Golden Sands,2bfPtJBxdYPrF8cKeIEUzH,Neil Cowley,0.436,0.277,9,-18.604,0,0.0306,0.977,0.899,0.0647,0.404,142.184
1987,Fredag,0maSnp4yKgYgbRfPvNvxud,Søndag Søndag,0.594,0.018,11,-29.849,0,0.0434,0.993,0.911,0.122,0.167,126.05
1988,Longhope - Edit,3KewUrX9nBSs6KMtFvw6wq,"Erland Cooper,Hiroshi Ebina,Hinako Omori",0.275,0.418,6,-12.939,1,0.0514,0.863,0.951,0.132,0.102,136.518
1989,Into the Fire,0TeV9D5NtoAjITBs80oMVg,Patrick Jonsson,0.371,0.235,6,-17.785,0,0.0384,0.906,0.943,0.11,0.0381,128.069
1990,"Dvergmál (with Steindór Andersen, Hilmar Örn Hilmarsson and María Huld Markan Sigfúsdóttir)",0ziXftS3A7jAVobpKVKwg9,"Sigur Rós,Hilmar Örn Hilmarsson,Maria Huld Markan Sigfúsdóttir,Steindór Andersen",0.452,0.507,9,-13.181,0,0.0272,0.215,0.905,0.0788,0.56,130.608
1991,Think Of Home - Kelly Moran Rework,6H8tvKj4JkpYAiDhUaZjd6,"Gabríel Ólafs,Kelly Moran",0.153,0.202,5,-18.229,1,0.033,0.785,0.939,0.0709,0.0388,89.586
1992,Chasing the Present,0XJq2OGUGCNXq3FfAFL4dw,Snorri Hallgrímsson,0.178,0.063,5,-27.571,0,0.0347,0.983,0.954,0.0845,0.0396,207.811
1993,Un Dimanche Orageux,7xcUYm5XUQ1bULRNlWCunX,REYN,0.395,0.0163,3,-20.892,1,0.0608,0.984,0.942,0.111,0.193,72.217
1994,Campfire,0qdMoqCqqmKo1V3NAuoWRM,Henrik Lindstrand,0.332,0.142,3,-26.384,1,0.0417,0.985,0.915,0.0956,0.237,71.766
1995,#20 (Lichen),4ovtBDG1jiIXe033VVhNgq,"Richard D. James,Brendan Eder Ensemble",0.162,0.112,0,-17.167,1,0.0379,0.954,0.915,0.116,0.0504,70.04
1996,Respite,4GseyfbqLyCeaUeXOmsCY2,Goldmund,0.106,0.116,0,-14.665,1,0.035,0.933,0.931,0.0994,0.0621,58.5
1997,Heart Failure,5IKBHH07ER6qB5uWPTXpUv,Eik Octobre,0.121,0.0385,0,-27.901,1,0.0363,0.969,0.915,0.122,0.0706,188.094
1998,Blood Family,6iLhDrW3ATqIyUtnTYIl6F,Alex Somers,0.196,0.171,6,-21.437,1,0.036,0.874,0.882,0.0959,0.0382,108.499
1999,Divina Commedia,1T9BlgfSGLqbCi7hdM3n7Z,Guy Van Nueten,0.101,0.324,0,-14.007,0,0.0348,0.968,0.794,0.125,0.151,90.154
2000,Intrinsic,38mLpbSRinX6ZSuFrZuJJE,Paul Haslinger,0.66,0.204,10,-21.038,1,0.0433,0.939,0.94,0.109,0.0684,129.994
2001,Dropar,2THglvTPmrgDMz6SgY5oFi,"Atli Örvarsson,Gyða Valtýsdóttir",0.175,0.243,6,-15.351,0,0.0376,0.785,0.827,0.122,0.0386,93.824
2002,How to Fall in Love in a Pandemic (Music for a Short Film),7upguSfQ3tXlymVbMb6784,Daithí,0.22,0.291,11,-17.403,0,0.0469,0.917,0.966,0.419,0.128,79.305
2003,Wholeness and the Implicate Order,3JuFH3tVsj4n8tI1vuGwRK,The Last Dinosaur,0.208,0.564,8,-14.699,0,0.197,0.102,0.925,0.0871,0.299,96.774
2004,Friedland (feat. Esther Abrami),2Y6vlUuLHn7ehTd3wQPuJG,"Dirk Maassen,Steingrímur Þórhallsson,Esther Abrami,SinfoniaNord",0.169,0.132,3,-16.047,0,0.0442,0.862,0.863,0.111,0.107,82.453
2005,Love,4Tni0eZOEBwZ7Dd1Q4izKL,Ben Lukas Boysen,0.537,0.376,2,-14.131,0,0.0318,0.96,0.907,0.0607,0.234,160.002
2006,Blurred - Sven Helbig Rework,74xCaDznBiIIktSPbFd31H,"Kiasmos,Mondëna Quartet,Sven Helbig",0.0855,0.122,2,-18.526,1,0.0436,0.946,0.945,0.134,0.0372,85.44
2007,Whispers,7LMhZBVJYRUNsD9GyIiH9A,"Muriël Bostdorp,Jake Lowe",0.227,0.0915,11,-21.119,0,0.0396,0.954,0.909,0.102,0.179,103.031
2008,Parallel (feat. Manu Delago),1TYyoP8sdXQ039kghXQZuf,"Poppy Ackroyd,Manu Delago",0.709,0.239,0,-21.361,1,0.0427,0.946,0.923,0.0826,0.364,110
2009,Suite No. 1: III. —,3yd2fHC5lVJoVVobdUOFVW,Edouard Cheritel,0.578,0.373,11,-14.434,1,0.0721,0.918,0.939,0.311,0.0392,151.94
2010,Glyph II - Julia Kent Rework,6RPrKKDJ97PPFUntqvhc5W,"Michael A. Muller,Julia Kent",0.108,0.2,10,-17.986,0,0.0438,0.88,0.981,0.0695,0.0297,76.424
2011,Harvester of Sorrow,1K11KPcUynDLD0b0Ds1zpQ,"Little Kruta,Jenn Mundia",0.403,0.11,9,-21.207,1,0.0555,0.34,0.00125,0.109,0.406,152.102
2012,Drifting Circles,456R4K85K04qITDh2vagal,Anne Müller,0.801,0.346,7,-14.296,1,0.11,0.957,0.913,0.0989,0.309,137.971
2013,Coeur,19kPbJLbOA6XK3jbO6gNoG,Rob Simonsen,0.183,0.15,7,-25.694,0,0.0333,0.899,0.869,0.0895,0.071,143.989
2014,Cedar - Night Cycles Version,3RBObqvYa9JvhbYNAQWDC6,Blake Ewing,0.061,0.0753,8,-27.087,1,0.034,0.922,0.92,0.108,0.0365,61.825
2015,Stars Light Up The Water,3Jff69kvbsXnRwHnJTOL2A,Comet Blue,0.266,0.0363,8,-25.939,1,0.0348,0.989,0.915,0.0957,0.265,171.154
2016,Carapace,2njj6RRRr3LTQ0KR57k3bY,Julia Kent,0.479,0.325,4,-14.01,0,0.0333,0.161,0.752,0.104,0.222,132.046
2017,90 Miles,58jTBCpkqF7iALAQZTupaG,MJ Cole,0.134,0.297,9,-14.55,0,0.0359,0.771,0.956,0.0648,0.0981,169.893
2018,L'etoile,7IvdJ01TBvQHtD5inw52lG,"Elskavon,John Hayes",0.22,0.13,9,-23.334,1,0.0347,0.969,0.856,0.178,0.0384,87.74
2019,New World,0ZYyAD3ZFssmqUrfBhjQst,Vitamin String Quartet,0.15,0.211,9,-12.814,0,0.0369,0.792,0.174,0.169,0.141,82.68
2020,Ikivirta,2id0bX3z3FkzWLDbb2NRLU,Sarah Palu,0.617,0.375,5,-11.889,0,0.0319,0.742,0.513,0.109,0.117,151.983
2021,Black Dog,4YBjc5fCZrFzpYYfzKI2Vv,Autonomy,0.406,0.255,4,-13.243,1,0.0331,0.952,0.852,0.11,0.0808,77.739
2022,Verdigris,6VSIleZcNhbmW03rAheUWp,"Roger Eno,Brian Eno",0.204,0.00301,3,-32.42,1,0.0482,0.991,0.887,0.0792,0.0387,72.248
2023,Starwood Choker,2w5l9sDXytt4lu0ZYFSoIX,Bing & Ruth,0.153,0.198,11,-19.542,1,0.0333,0.903,0.933,0.0977,0.0356,85.738
2024,Where Do We Go from Here,1X0X6BC5drvd3cnh3bCrXf,Njord,0.178,0.0603,10,-22.868,1,0.0345,0.95,0.912,0.108,0.0394,180.325
2025,Little Orc,2U7TnzD7vRwTIaNOZhE9Ns,Niklas Paschburg,0.356,0.38,5,-14.058,0,0.0443,0.921,0.923,0.109,0.178,184.195
2026,Parliament Of Owls,0mNCNmylxTWB9GrFw4RVf6,Agnes Obel,0.245,0.239,11,-17.048,0,0.0367,0.918,0.95,0.149,0.12,118.972
2027,Nouveau-Né (Re-Imagined),1sk2K7lpkZgAbTRjF07HhK,Phoria,0.415,0.0711,11,-27.629,1,0.0355,0.989,0.871,0.0856,0.11,79.004
2028,Håll Mig - Reimagined by Tim Linghaus,7l79uIzvPbeD7tagjdCwAE,"Vargkvint,Tim Linghaus",0.27,0.0853,5,-20.796,0,0.0321,0.86,0.799,0.132,0.105,127.648
2029,Concertino bianco: 1. Con intenerimento,4TewheY5HBdF1Qv1DVZwcJ,"Georgs Pelēcis,Tamara Anna Cislowska,Tasmanian Symphony Orchestra,Johannes Fritzsch",0.312,0.0443,0,-26.137,1,0.0297,0.905,0.837,0.0872,0.183,96.95
2030,Henry V - Two pieces for strings: 2. Touch her soft lips and Pt. - 1988 Remaster,5d9kkOvx3H0GVGB9AtLgvJ,Sir Neville Marriner,0.0662,0.0384,0,-31.042,1,0.0434,0.944,0.986,0.106,0.0625,70.025
2031,Générique de fin,4nAvEP0TxzNPiu710Dl5va,Gabriel Yared,0.114,0.121,2,-21.115,1,0.0392,0.981,0.958,0.215,0.0778,87.964
2032,Elizabethan Masque,7gIfYC1u2xPLuihb86wdwn,"Fredrico Bayco,Pro Arte Orchestra,George Weldon",0.217,0.0693,9,-28.017,0,0.0386,0.956,0.81,0.108,0.0782,64.241
2033,"Sospiri, Opus 70",1SMDuZThgauvMckxone4sT,"Edward Elgar,Paul Goodwin,Osian Ellis,English Chamber Orchestra",0.169,0.027,5,-30.15,1,0.0514,0.797,0.92,0.117,0.0318,113.478
2034,Polovetsian Dances from Prince Igor: Introduzione,1KeJxSvW6pLU1ieRfQOMca,"Alexander Borodin,George Szell,Cleveland Orchestra",0.157,0.0553,9,-23.391,1,0.0381,0.984,0.8,0.107,0.0421,83.299
2035,"Lyric Pieces, Book 5, Op. 54: Nocturne",2GJFu2G9fhaYFrOoX9bejs,"Edvard Grieg,Alessio Bax",0.296,0.0435,0,-29.73,1,0.0411,0.987,0.857,0.0786,0.0302,72.282
2036,Schwanenlied,58I1vBvQyCzucuxkMl9Pwc,"Fanny Mendelssohn,Eva Oertle,Consuelo Giulianelli",0.243,0.111,7,-21.415,0,0.0453,0.959,0.941,0.106,0.185,143.278
2037,In A Landscape,4iXgy9zH7eYSwDuYwb7waL,"John Cage,Herbert Henck",0.208,0.00643,2,-44.347,0,0.0433,0.992,0.935,0.0849,0.476,66.291
2038,"Kammerkantate, BWV 208: ''Sheep may safly granze''",3DcE75ZUXb6eZPPaaswpJq,"Johann Sebastian Bach,Takuya Kambara,petri",0.401,0.0225,10,-29.978,1,0.0377,0.993,0.913,0.122,0.113,99.207
2039,Capriol Suite: 5. Pied-en- l'air,2AD8SvaIwYjqYdhCtyK7to,"Peter Warlock,Academy of St. Martin in the Fields,Nicholas Kraemer,Sir Neville Marriner",0.0805,0.0635,7,-29.027,1,0.0467,0.89,0.887,0.412,0.0391,173.37
2040,Spirituals for Orchestra: II. Sermon,1pvdhULiFFPXxLL3bGHaq7,"Morton Gould,London Symphony Orchestra, Walter Susskind,Walter Susskind,London Symphony Orchestra",0.148,0.0169,6,-31.437,0,0.0427,0.964,0.8,0.0702,0.0338,93.1
2041,"Après un rêve, Op. 7, No. 1",05yzhEWkmVXiigqWfcNTQS,"Gabriel Fauré,Yo-Yo Ma",0.187,0.0306,5,-27.399,0,0.0404,0.991,0.968,0.0979,0.036,96.639
2042,Pictures at an Exhibition (Orch. M. Ravel): Promenade,4JrrAz6CdcawJthf1LdCbE,"Modest Mussorgsky,Maurice Ravel,Orchestre National De Lyon,Leonard Slatkin",0.0908,0.00241,8,-39.06,1,0.0424,0.961,0.596,0.087,0.315,86.879
2043,Quatuor pour la fin du temps: V. Louange a l'Eternite de Jesus (Praise to the Eternity of Jesus),1cE7h6ByN0dmsb5nVbIdRH,"Olivier Messiaen,Robert Plane,Gould Piano Trio",0.144,0.00463,4,-31.204,1,0.0412,0.959,0.577,0.0713,0.0238,82.014
2044,Sadko: Hindu Song (arr. N. Mercz): Hindu Song from the Opera 'Sadko',5WpGVggkaT3phJEwrVG3EC,"Nora Mercz,Nikolai Rimsky-Korsakov,Janos Balint",0.116,0.0127,5,-31.623,1,0.0638,0.954,0.95,0.0969,0.0357,65.44
2045,"Nocturne No.1 in E Flat Major, H.24",2BoGqeQPudKngGagsPjSJW,"John Field,Elizabeth Joy Roe",0.321,0.0272,3,-25.066,1,0.037,0.993,0.919,0.0947,0.0632,74.69
2046,"Allegro de Concierto, Op. 46",7tTGH3yp7nDwUgF0jALOQk,"Enrique Granados,María Dolores Gaitán",0.243,0.267,1,-15.528,1,0.0441,0.993,0.931,0.17,0.0423,72.245
2047,"7 Anniversaries: No. 1, For Aaron Copland",50EMA40T710iKQUlAxkVLe,"Leonard Bernstein,Lara Downes",0.546,0.00997,9,-28.266,0,0.258,0.995,0.949,0.0851,0.353,77.483
2048,"Peer Gynt-Suite Nr. 1, Op. 46: III. Anitra's Dance",5ebC5YZw56vrVIkIbkbNvP,"Edvard Grieg,Academy of St. Martin in the Fields,Sir Neville Marriner",0.198,0.0246,4,-32.071,0,0.0436,0.945,0.275,0.122,0.125,168.273
2049,Song Book: The Man I Love. Slow and in singing style,4BlM6AO7TOtqxcY9qMHIuc,"George Gershwin,Frank Braley",0.449,0.00631,5,-36.027,0,0.041,0.996,0.902,0.112,0.0676,69.325
2050,"16 Waltzes, Op. 39 (Version for Piano Duet): No. 15 in A-Flat Major",6IOWaTG6MUfR4824H2XOjJ,"Johannes Brahms,Yaara Tal,Andreas Groethuysen",0.305,0.00388,9,-37.986,1,0.0434,0.995,0.836,0.0824,0.158,125.698
2051,In the Steppes of Central Asia,4KqnNrqtlD8x4jHbYFsewL,"Alexander Borodin,Ukraine National Radio Symphony Orchestra,Theodore Kuchar",0.0674,0.0319,9,-25.053,1,0.0439,0.947,0.843,0.166,0.0384,67.904
2052,Three Postludes (1981/82): Postlude No. 3,02H2meQsn2tcMNqx6NUZoC,"Valentin Silvestrov,Anja Lechner,Silke Avenhaus",0.0596,0.00121,2,-39.952,1,0.0559,0.987,0.262,0.0991,0.0383,62.51
2053,"Deux Arabesques, L. 66: I. Andantino con moto",7DXc54rtHRhCIViAy4s5VW,"Claude Debussy,William Ogmundson",0.411,0.0547,4,-23.349,1,0.0465,0.994,0.942,0.0945,0.0998,70.427
2054,"Nocturne No.2 in C Minor, H.25",15NLRAn8YZ5XrDXklYkHDZ,"John Field,Elizabeth Joy Roe",0.349,0.0644,0,-19.308,0,0.0379,0.993,0.924,0.0996,0.0458,79.832
2055,Suite from The Victorian Kitchen Garden: V. Summer,3eHSMvfEhVNjavnS3yemOI,"Paul Reade,Emma Johnson,Philip Ellis,BBC Concert Orchestra",0.18,0.0238,3,-31.705,1,0.0452,0.98,0.93,0.0999,0.184,128.848
2056,"Suite d'Abdelazer: or, the moor's revenge: Rondeau",1ZIFF4VPWGYA9OG3uYcFgI,"Henry Purcell,Ensemble Orchestral Harmonia Nova & Didier Bouture,Didier Bouture,Ensemble Orchestral Harmonia Nova",0.424,0.0421,2,-24.15,0,0.0329,0.948,0.782,0.113,0.379,92.404
2057,"Moderen (The Mother), Op. 41, FS 94: Tagen letter (The Fog is lifting)",6fu7onizuA0GuuzjVaY5BU,"Carl Nielsen,Ensemble MidtVest",0.28,0.0292,0,-26.544,1,0.0514,0.985,0.951,0.125,0.121,109.711
2058,"Keyboard Concerto in G Major, Wq. 44: II. Andantino",7xI0wxBQhYMSWDhkuvbRgM,"Carl Philipp Emanuel Bach,Michael Rische,Kammersymphonie Leipzig",0.384,0.0274,4,-26.64,0,0.0339,0.975,0.623,0.23,0.196,86.948
2059,"Consolation No. 3 in D-Flat Major, S. 172",0Jp7n6FKqGVxtXPMVYtMQr,"Franz Liszt,Lang Lang",0.203,0.00399,1,-35.638,1,0.0405,0.985,0.922,0.111,0.0779,74.253
2060,"Liszt: Années de pèlerinage, Troisième année, ""Italie"", S. 163: IV. Les Jeux d'eaux á la Villa d'Este",6IHh011SaCLmvtLvqsbvRG,"Franz Liszt,George Li",0.295,0.162,6,-22.206,1,0.0398,0.988,0.95,0.0823,0.0381,98.268
2061,Antar (After N. Rimsky-Korsakov): No. 7. Ravel: Allegretto,0Ee9oam0N0ZzxZSN9nogTQ,"Maurice Ravel,Andre Dussollier,Orchestre National De Lyon,Leonard Slatkin",0.152,0.0116,5,-33.668,1,0.0387,0.749,0.855,0.294,0.0387,137.649
2062,Valsinha,3MUR1Ku2OcQFcel5ECeR1s,"Francisco Mignone,Luiz de Moura Castro",0.216,0.0271,4,-33.439,0,0.0398,0.995,0.954,0.108,0.165,84.953
2063,"Kesaillan idylli (Summer Night's Idyll) , Op. 16, No. 2 (arr. J. Panula)",2Y9DRm38cPNvXQn1sJ8Tnw,"Oskar Merikanto,Jorma Panula,Camerata Finlandia",0.167,0.0138,5,-34.11,1,0.0461,0.904,0.837,0.0968,0.0649,96.617
2064,"Messiah, HWV 56, Part I: Pastoral Symphony, ""Pifa"" (arr. L. Stokowski)",2WuYYACpbXgn41VaPN3IYs,"George Frideric Handel,Leopold Stokowski,Bournemouth Symphony Orchestra,José Serebrier",0.107,0.0329,0,-29.429,1,0.0389,0.962,0.868,0.0932,0.0377,91.64
2065,"June. Barcarolle The Seasons, Op. 37b (1875-6)",3CXvekTGvlUimWpLUCJsVi,"Pyotr Ilyich Tchaikovsky,Yefim Bronfman",0.336,0.0709,7,-25.69,0,0.0494,0.992,0.858,0.0876,0.176,85.793
2066,Amjad Sleeping Panorama,1acreCE82QFvN32vlcht51,"David Lang,Njo Kong Kie,Jennifer Thiessen,Jill Van Gee,Elisabeth Giroux,Gavin Bryars",0.35,0.101,9,-20.01,0,0.0392,0.991,0.833,0.0716,0.075,90.149
2067,Etude Op. 76 nr 2,1h0j89VVIoDkhYZCtrC5Ug,"Jean Sibelius,Jian Wang,Göran Söllscher",0.425,0.0333,7,-28.34,0,0.0388,0.971,0.9,0.106,0.477,122.039
2068,"24 Preludes For Violin And Piano, Op.46: 15. Adagio sognando",4z7XSZvabBr1Q4TFOp6nNL,"Lera Auerbach,Daniel Hope,Jacques Ammon",0.122,0.00213,8,-41.6,1,0.0446,0.747,7.32E-05,0.0901,0.0391,72.283
